"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
245,625,"Ernest Miller","Hemingway","US","US","male",1954,"literature","  mastery   art  narrative most recently demonstrated  IThe Old Man   SeaI    influence    exerted  contemporary style"
250,589,"Knut Pedersen","Hamsun","NO","NO","male",1920,"literature","  monumental  IGrowth   SoilI"
251,642,"Yasunari","Kawabata","JP","JP","male",1968,"literature","  narrative mastery   great sensibility expresses  essence   Japanese mind"
252,659,"Gabriel","GarcÕa Màrquez","CO","MX","male",1982,"literature","  novels  short stories    fantastic   realistic  combined   richly composed world  imagination reflecting  continent's life  conflicts"
253,660,"William","Golding","GB","GB","male",1983,"literature","  novels    perspicuity  realistic narrative art   diversity  universality  myth illuminate  human condition   world  today"
256,619,"Thomas Stearns","Eliot","US","GB","male",1948,"literature","  outstanding pioneer   present-day poetry"
263,661,"Jaroslav","Seifert","CZ","CZ","male",1984,"literature","  poetry  endowed  freshness sensuality  rich inventiveness provides  liberating image   indomitable spirit  versatility  man"
264,655,"Odysseus","Elytis","GR","GR","male",1979,"literature","  poetry  against  background  Greek tradition depicts  sensuous strength  intellectual clear-sightedness modern man's struggle  freedom  creativeness"
265,620,"William","Faulkner","US","US","male",1949,"literature","  powerful  artistically unique    modern American novel"
268,639,"Shmuel Yosef","Agnon","UA","IL","male",1966,"literature","  profoundly characteristic narrative art  motifs from  life   Jewish people"
269,634,"John","Steinbeck","US","US","male",1962,"literature","  realistic  imaginative writings combining  they do sympathetic humour  keen social perception"
291,586,"Karl Adolph","Gjellerup","DK","DE","male",1917,"literature","  varied  rich poetry  is inspired  lofty ideals"
292,603,"Sinclair","Lewis","US","IT","male",1930,"literature","  vigorous  graphic art  description   ability  create  wit  humour new types  characters"
293,626,"HalldÑr Kiljan","Laxness","IS","IS","male",1955,"literature","  vivid epic power     great narrative art  Iceland"
294,641,"Miguel Angel","Asturias","GT","ES","male",1967,"literature","  vivid literary achievement deep-rooted   national traits  traditions  Indian peoples  Latin America"
321,596,"George Bernard","Shaw","IE","GB","male",1925,"literature","    is marked  both idealism  humanity  stimulating satire often being infused   singular poetic beauty"
322,637,"Jean-Paul","Sartre","FR","FR","male",1964,"literature","    rich  ideas  filled   spirit  freedom   quest  truth  exerted  far-reaching influence   age"
323,647,"Heinrich","B_ll","DE","DE","male",1972,"literature","  writing    combination   broad perspective   time   sensitive skill  characterization  contributed   renewal  German literature"
324,643,"Samuel","Beckett","IE","FR","male",1969,"literature","  writing    new forms   novel  drama    destitution  modern man acquires  elevation"
325,667,"Octavio","Paz","MX","MX","male",1990,"literature"," impassioned writing  wide horizons characterized  sensuous intelligence  humanistic integrity"
348,912,"Patrick","Modiano","FR","","male",2014,"literature","  art  memory     evoked  most ungraspable human destinies  uncovered  life-world   occupation"
349,638,"Mikhail Aleksandrovich","Sholokhov","RU","RU","male",1965,"literature","  artistic power  integrity     epic   Don   given expression   historic phase   life   Russian people"
350,609,"Roger","Martin du Gard","FR","FR","male",1937,"literature","  artistic power  truth     depicted human conflict  well  some fundamental aspects  contemporary life   novel-cycle ILes ThibaultI"
351,622,"P_r Fabian","Lagerkvist","SE","SE","male",1951,"literature","  artistic vigour  true independence  mind    endeavours   poetry  find answers   eternal questions confronting mankind"
355,623,"François","Mauriac","FR","FR","male",1952,"literature","  deep spiritual insight   artistic intensity       novels penetrated  drama  human life"
438,633,"Ivo","Andric","BA","RS","male",1961,"literature","  epic force     traced themes  depicted human destinies drawn from  history   country"
439,644,"Aleksandr Isayevich","Solzhenitsyn","RU","RU","male",1970,"literature","  ethical force     pursued  indispensable traditions  Russian literature"
441,592,"Jacinto","Benavente","ES","ES","male",1922,"literature","  happy manner     continued  illustrious traditions   Spanish drama"
442,652,"Saul","Bellow","CA","US","male",1976,"literature","  human   subtle   contemporary culture   combined   "
455,608,"Eugene Gladstone","O'Neill","US","US","male",1936,"literature","  power honesty  deep-felt emotions   dramatic works  embody  original concept  tragedy"
456,614,"Johannes Vilhelm","Jensen","DK","DK","male",1944,"literature","  rare strength  fertility   poetic imagination   is combined  intellectual curiosity  wide scope   bold freshly creative style"
459,631,"Saint-John","Perse","GP","FR","male",1960,"literature","  soaring flight   evocative imagery   poetry    visionary fashion reflects  conditions   time"
460,606,"Ivan Alekseyevich","Bunin","RU","FR","male",1933,"literature","  strict artistry     carried   classical Russian traditions  prose writing"
752,672,"Seamus","Heaney","GB","IE","male",1995,"literature"," works  lyrical beauty  ethical depth  exalt everyday miracles   living past"
753,761,"Imre","Kert_sz","HU","HU","male",2002,"literature"," writing  upholds  fragile experience   individual against  barbaric arbitrariness  history"
754,658,"Elias","Canetti","BG","CH","male",1981,"literature"," writings marked   broad outlook  wealth  ideas  artistic power"
755,650,"Harry","Martinson","SE","SE","male",1974,"literature"," writings  catch  dewdrop  reflect  cosmos"
756,581,"Count Maurice (Mooris) Polidore Marie Bernhard","Maeterlinck","BE","FR","male",1911,"literature"," appreciation   many-sided literary activities     dramatic works   distinguished   wealth  imagination    poetic fancy  reveals sometimes   guise   fairy tale  deep inspiration while   mysterious way they appeal   readers own feelings  stimulate  imaginations"
