"","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
"232",167,"Ernest","Rutherford","NZ","GB","male",1908,"chemistry","""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"""
"233",184,"Heinrich Otto","Wieland","DE","DE","male",1927,"chemistry","""for his investigations of the constitution of the bile acids and related substances"""
"234",8,"Lord Rayleigh","(John William Strutt)","GB","GB","male",1904,"physics","""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies"""
"235",52,"Sir Edward Victor","Appleton","GB","GB","male",1947,"physics","""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer"""
"236",196,"Walter Norman","Haworth","GB","GB","male",1937,"chemistry","""for his investigations on carbohydrates and vitamin C"""
"237",197,"Paul","Karrer","RU","CH","male",1937,"chemistry","""for his investigations on carotenoids, flavins and vitamins A and B2"""
"238",207,"Sir Robert","Robinson","GB","GB","male",1947,"chemistry","""for his investigations on plant products of biological importance, especially the alkaloids"""
"239",18,"Heike","Kamerlingh Onnes","NL","NL","male",1913,"physics","""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"""
"240",552,"Mikhail Sergeyevich","Gorbachev","RU","","male",1990,"peace","""for his leading role in the peace process which today characterizes important parts of the international community"""
"241",855,"Liu","Xiaobo","CN","","male",2010,"peace","""for his long and non-violent struggle for fundamental human rights in China"""
"242",627,"Juan RamÑn","Jim_nez","ES","PR","male",1956,"literature","""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity"""
"243",630,"Salvatore","Quasimodo","IT","IT","male",1959,"literature","""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"""
"244",624,"Sir Winston Leonard Spencer","Churchill","GB","GB","male",1953,"literature","""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"""
"245",625,"Ernest Miller","Hemingway","US","US","male",1954,"literature","""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style"""
"246",173,"Paul","Sabatier","FR","FR","male",1912,"chemistry","""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"""
"247",34,"Charles Thomson Rees","Wilson","GB","GB","male",1927,"physics","""for his method of making the paths of electrically charged particles visible by condensation of vapour"""
"248",12,"Gabriel","Lippmann","LU","","male",1908,"physics","""for his method of reproducing colours photographically based on the phenomenon of interference"""
"249",224,"Willard Frank","Libby","US","US","male",1960,"chemistry","""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"""
"250",589,"Knut Pedersen","Hamsun","NO","NO","male",1920,"literature","""for his monumental work, <I>Growth of the Soil</I>"""
"251",642,"Yasunari","Kawabata","JP","JP","male",1968,"literature","""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"""
"252",659,"Gabriel","GarcÕa Màrquez","CO","MX","male",1982,"literature","""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts"""
"253",660,"William","Golding","GB","GB","male",1983,"literature","""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"""
